text,intent,style,length_bucket,split,text_clean
işverenimi sgk bildirimi yaptı mı,employment_status_query,normal,uzun,train,işverenimi sgk bildirimi yaptı mı
girişim verildi mi,employment_status_query,günlük,kısa,train,girişim verildi mi
işe giriş kaydım var mı,employment_status_query,günlük,orta,train,işe giriş kaydım var mı
sgkda hangi isyerinde kayitli gorundugumu ogrenmek istiyorum,employment_status_query,bozuk,uzun,train,sgkda hangi isyerinde kayitli gorundugumu ogrenmek istiyorum
çıkışım verilmiş mi,employment_status_query,normal,kısa,train,çıkışım verilmiş mi
ise basladim isverenimi beni sgkya bildirdi mi,employment_status_query,bozuk,orta,train,ise basladim isverenimi beni sgkya bildirdi mi
işe girişim yapılmış mı acaba,employment_status_query,normal,uzun,train,işe girişim yapılmış mı acaba
yeni işe başladım ama işverenimi henüz sgk girişimi yapıp yapmadığını bilmiyorum bunu nasıl kontrol edebilirim,employment_status_query,normal,uzun,train,yeni işe başladım ama işverenimi henüz sgk girişimi yapıp yapmadığını bilmiyorum bunu nasıl kontrol edebilirim
işe giriş bildirgem sisteme düşmüş mü,employment_status_query,günlük,orta,train,işe giriş bildirgem sisteme düşmüş mü
işten çıkış bildirimimin yapılıp yapılmadığını öğrenmek istiyorum,employment_status_query,normal,uzun,train,işten çıkış bildirimimin yapılıp yapılmadığını öğrenmek istiyorum
işten çıkışım bildirildi mi,employment_status_query,normal,uzun,train,işten çıkışım bildirildi mi
çıkış işlemim sisteme işlendi mi,employment_status_query,normal,orta,train,çıkış işlemim sisteme işlendi mi
yeni işyerinde sigorta girişim yapılmış mı,employment_status_query,günlük,orta,train,yeni işyerinde sigorta girişim yapılmış mı
SGK işyeri kaydımı kontrol etmek istiyorum,employment_status_query,normal,orta,train,sgk işyeri kaydımı kontrol etmek istiyorum
işyeri değişikliğim kaydedilmiş mi,employment_status_query,normal,uzun,train,işyeri değişikliğim kaydedilmiş mi
işten ayrılış kaydım sgk'da görünüyor mu,employment_status_query,normal,orta,train,işten ayrılış kaydım sgk da görünüyor mu
i̇şten ayrıldım çıkış bildirimi verilmiş mi,employment_status_query,günlük,uzun,train,i şten ayrıldım çıkış bildirimi verilmiş mi
isten ayrilis tarihim sgkya dogru bildirilmis mi,employment_status_query,bozuk,uzun,train,isten ayrilis tarihim sgkya dogru bildirilmis mi
sgk ya girilmis mi ise girisim,employment_status_query,bozuk,orta,train,sgk ya girilmis mi ise girisim
sgk işe giriş tarihi,employment_status_query,normal,kısa,train,sgk işe giriş tarihi
işverenimi beni sgk'ya geç bildirdi ceza kesilir mi,employment_status_query,normal,uzun,train,işverenimi beni sgk ya geç bildirdi ceza kesilir mi
işe girişim yapıldı mı,employment_status_query,normal,uzun,train,işe girişim yapıldı mı
işten çıktım bildirim var mı,employment_status_query,normal,orta,train,işten çıktım bildirim var mı
işten ayrıldım eski işverenimi sgk'ya çıkış bildirimimi yapıp yapmadığını öğrenmek istiyom,employment_status_query,günlük,uzun,train,işten ayrıldım eski işverenimi sgk ya çıkış bildirimimi yapıp yapmadığını öğrenmek istiyom
i̇şverenimi sgk'ya ihbar etmem gerekiyor mu,employment_status_query,günlük,orta,train,i şverenimi sgk ya ihbar etmem gerekiyor mu
İşverenimin SGK girişimi yapıp yapmadığını sorgulamak istiyorum,employment_status_query,normal,orta,train,i şverenimin sgk girişimi yapıp yapmadığını sorgulamak istiyorum
isverenimi beni sgkya bildirdi mi,employment_status_query,bozuk,uzun,train,isverenimi beni sgkya bildirdi mi
SGK işe giriş kaydım oluşturulmuş mu,employment_status_query,normal,uzun,train,sgk işe giriş kaydım oluşturulmuş mu
çıkışım sgk'ya girildi mi,employment_status_query,günlük,kısa,train,çıkışım sgk ya girildi mi
işverenimi ihbar etsem mi sgk ya,employment_status_query,normal,orta,train,işverenimi ihbar etsem mi sgk ya
işten çıkışım resmen bildirilmiş mi,employment_status_query,normal,orta,train,işten çıkışım resmen bildirilmiş mi
